id	effectiveTime	active	moduleId	refsetId	referencedComponentId	attributeDescription	attributeType	attributeOrder
a6417d6f-5a66-5039-8e94-698d28a4da46	20020131	1	900000000000207008	900000000000456007	446608001	900000000000500006	900000000000461009	0
57c08f90-d110-51d7-9866-687ea59213b4	20020131	1	900000000000207008	900000000000456007	446608001	900000000000499002	900000000000465000	1
d4759302-3afb-565d-b627-17c78e060134	20130731	1	449080006	900000000000456007	447562003	900000000000500006	900000000000461009	0
aee0e3e2-aa89-5a76-9e6f-3ea574434648	20130731	1	449080006	900000000000456007	447562003	900000000000501005	900000000000478000	1
85cc1c27-3a9f-5859-a1c5-7522b51ed528	20130731	1	449080006	900000000000456007	447562003	900000000000502003	900000000000478000	2
d7428912-7544-5a88-abda-ef7c1e44c786	20130731	1	449080006	900000000000456007	447562003	900000000000503008	900000000000465000	3
9eed7b82-3c3b-521b-b42c-46b09a3ba408	20130731	1	449080006	900000000000456007	447562003	900000000000504002	900000000000465000	4
e6283035-2e04-5292-a745-929e03a39735	20130731	1	449080006	900000000000456007	447562003	900000000000505001	900000000000465000	5
ca083ad0-bc5b-5b7b-9641-e3c016af290d	20130731	1	449080006	900000000000456007	447562003	447247004	900000000000461009	6
ad911b65-3425-508f-96e6-75ee0f8d0472	20130731	1	449080006	900000000000456007	447562003	609330002	900000000000461009	7
