id	effectiveTime	active	moduleId	refsetId	referencedComponentId	targetComponentId
1055da45-7200-5397-868e-8d31ea9786e8	20130301	1	731000124108	900000000000527005	4151000124104	459149007
1174f646-2606-5318-bc37-3e54fcd97129	20120901	1	731000124108	900000000000527005	425011000124103	6143009
118cb834-a15b-57eb-b1e6-5483cafb06fb	20110731	1	900000000000207008	900000000000531004	2476009010	59388001
120969f1-f2a9-5ed2-ae0b-2f43bfd99fa4	20130301	1	731000124108	900000000000527005	4671000124100	458089006
13953f21-92f6-5137-b1fb-8e3127b901fb	20040131	0	900000000000207008	900000000000527005	312061002	50050003
13a06116-7b56-5c86-a98c-264a517d8552	20030731	0	900000000000207008	900000000000527005	154283005	81483001
13ceb117-d97d-5aa8-bbf2-eebbb3dde5e2	20100731	0	900000000000207008	900000000000531004	1492420012	39866004
142606bb-5d97-563c-a2f0-0a9b34382801	20140901	1	731000124108	900000000000527005	432221000124108	115561000119102
158630ee-d416-5209-b9f5-19f3c6a0ceeb	20090131	1	900000000000207008	900000000000531004	453763016	431361003
15e4aa97-3d70-5dc4-8b41-81cd9fc07d89	20140131	1	900000000000207008	900000000000531004	124005014	699026005
15f44b1a-bce1-5d8e-92c3-0c37a8708ae2	20110301	1	731000124108	900000000000524003	101000124104	373872000
187b94c0-26c4-5935-bd7c-33c77cc6c40e	20040131	0	900000000000207008	900000000000527005	226282004	108954004
18c64eda-d2d7-5a22-bcba-922c10caf363	20120301	1	731000124108	900000000000526001	1141000124103	449737008
1949e95d-a7b1-544b-a71a-93df16fd65d4	20120301	1	731000124108	900000000000526001	1231000124102	449746002
1a25d7c0-8a62-5e1c-aec3-7735b8914e44	20140301	1	731000124108	900000000000527005	6321000124100	801000119105
1b6b3cc3-007f-5226-8972-8b02a6fe4d74	20120901	1	731000124108	900000000000527005	1531000124104	450972000
1bc482f7-80d8-56bd-b273-34e6b6f1d425	20120301	1	731000124108	900000000000524003	2131000124103	373872000
1d4e2c8e-1846-5716-adb7-723841e80ac9	20040731	1	900000000000207008	900000000000527005	59101000	263237009
1d8978c1-7305-568e-870d-63b799542e21	20110301	1	731000124108	900000000000526001	151000124100	446649001
1d8f1025-a6d9-5bc5-b095-7f64e86913ba	20100131	0	900000000000207008	900000000000526001	123250005	71307009
1f5409a0-02a2-5295-9c71-1e4c79f613ab	20090131	1	900000000000207008	900000000000531004	200358012	439981005
1fb23587-20cc-5496-894a-35c996d50924	20140301	1	731000124108	900000000000527005	432431000124105	698603008
20672349-f69a-5e8b-8f09-e481b1d4e7c6	20060131	0	900000000000207008	900000000000527005	161891005	399079008
20e738b8-0815-5964-984a-27cd794b2fc5	20100131	0	900000000000207008	900000000000527005	240197007	23382007
21b7adb6-1243-5fee-ae04-bac054ed268b	20120301	1	731000124108	900000000000524003	1181000124109	373872000
21ef4a0b-e833-5d72-9a3b-7704c7895e3c	20130901	1	731000124108	900000000000527005	1341000119103	608848006
21f555bf-95a0-5b33-9a47-0b231e9efa05	20130301	1	731000124108	900000000000527005	4251000124107	458152005
22c33d84-1862-54e7-8064-4016ee616dc4	20120131	1	900000000000207008	900000000000531004	23737010	449902003
22e2aff4-ddad-5aea-b493-cd1c579692c7	20130131	1	900000000000207008	900000000000531004	115145012	473452003
230e4735-eda4-5875-b0d9-4362d7bae3a3	20110301	1	731000124108	900000000000526001	111000124101	446396002
235102d3-2f12-51ee-a3c0-c1e3fabf1b8f	20120301	1	731000124108	900000000000524003	2141000124108	373872000
23a7a214-ceea-5f62-bdae-73854b98d511	20110301	1	731000124108	900000000000526001	41000124107	446709000
23b6b306-858b-52b5-ae03-69289dbc2445	20110301	1	731000124108	900000000000524003	121000124109	373872000
260d8156-c979-5ee4-9a99-9964941389d4	20130301	1	731000124108	900000000000527005	431871000124100	603415003
