id	effectiveTime	active	moduleId	refsetId	referencedComponentId	targetComponentId
248760ba-1549-5e47-97ac-a6cf1423a8b2	20020731	1	900000000000207008	900000000000523009	232503003	371548008
24ef074b-219e-565e-bdd1-1afd29b90b6c	20020731	1	900000000000207008	900000000000527005	266255008	20059004
24f75032-c1dc-510f-ac73-8da3865f5ad0	20050131	1	900000000000207008	900000000000523009	125669007	282752000
25e9c500-88de-5393-82c9-89b17f113ca6	20080731	1	900000000000207008	900000000000527005	116131007	350591008
25f135cc-d6e7-5c69-b195-1ed0239db7e4	20130731	1	900000000000207008	900000000000527005	115196005	59206002
260ed0b8-a984-5779-af7d-7e5dea044cfd	20030131	1	900000000000207008	900000000000527005	360224006	129265001
28dd18a6-6ab9-5492-92ab-ede9b12ce3cf	20140131	1	900000000000207008	900000000000523009	279495008	123037004
29b8cbd4-f86f-5e95-9b5d-38588138d864	20070731	1	900000000000207008	900000000000523009	281132006	2841007
2a60a450-29ef-5923-8041-a64026328af6	20070731	1	900000000000207008	900000000000527005	272647005	310575006
2af4354d-9d47-5b79-9d7d-1f8423a3a96f	20080731	0	900000000000207008	900000000000523009	108234007	225426007
2c39ff2b-a410-5317-8225-f5979426cac3	20130131	1	900000000000207008	900000000000527005	127072000	473011001
2c3a66f1-e11c-58de-a91d-5a3423577c7e	20040731	1	900000000000207008	900000000000523009	257332002	313236002
2dfeefb2-4251-5fe8-9a73-1bbc140ab38d	20050131	1	900000000000207008	900000000000527005	38667003	119561005
2e65a344-de46-5053-9549-1f783f1f2400	20050131	1	900000000000207008	900000000000523009	14778003	414403008
2e6ef98e-e65d-5e49-9b28-aabe3f088b4e	20020731	1	900000000000207008	900000000000523009	365699002	250465006
30096be2-e864-5902-af1c-cf85d6f5c2a2	20070131	1	900000000000207008	900000000000527005	255572006	62880001
3016e2f7-170a-5649-8ba8-1be72f122ff0	20030131	1	900000000000207008	900000000000526001	310656008	30315005
305b6f59-6074-5c63-a98f-ea4b89e50928	20020731	1	900000000000207008	900000000000523009	8540005	371195002
30a22920-a5a6-5ba3-ac58-dd17cd383fd0	20070731	1	900000000000207008	900000000000523009	363749005	425689005
310e7ba2-6976-540c-9cf4-d48164b7d217	20060131	1	900000000000207008	900000000000523009	189117002	419893006
31986008-7d3a-5aac-986b-af41bf2bbb36	20030131	1	900000000000207008	900000000000523009	81699001	384726006
31b90cd4-1344-5caa-a9af-3e468d4d2ec1	20040131	1	900000000000207008	900000000000523009	218798002	218799005
33024e6b-b59c-5b97-9876-50d907a1291f	20130731	1	900000000000207008	900000000000523009	397637006	112283007
3460a87f-58ab-5bd0-8a38-bc40a66502b6	20060131	1	900000000000207008	900000000000523009	103267008	246915008
3498a1f4-d3a3-56ee-8a7d-12797899be43	20140131	1	900000000000207008	900000000000524003	128983005	416516009
34b5cc2d-3242-518b-87d6-7ac62f5083ea	20050131	1	900000000000207008	900000000000527005	258550008	127465007
356919b9-a9bd-5449-a1e9-20bd470cf0e1	20130731	1	900000000000207008	900000000000523009	118943001	609619005
358bcfbf-9985-5892-8d17-a3521b2b909b	20050731	1	900000000000207008	900000000000523009	182831000	416608005
377d5ca8-5179-522a-91cd-fd7f7703a822	20140131	1	900000000000207008	900000000000527005	367539009	410730009
381b9553-4f1e-5daf-aa9d-c077d9f337e6	20140131	1	900000000000207008	900000000000524003	93371005	416516009
387349f1-2ec7-59e5-9d2e-e39e26e3aaaa	20030131	1	900000000000207008	900000000000523009	48692003	387713003
3891fe8a-cd5b-5723-8815-96faba2be059	20060131	1	900000000000207008	900000000000523009	268531006	409073007
3950e2c6-71cd-5544-8b8b-938243321c43	20030131	1	900000000000207008	900000000000527005	228484007	365981007
39f86db3-afbf-58f7-8ae2-ab62eb743be4	20030131	1	900000000000207008	900000000000523009	82076002	392242000
3a0b5daf-9b7a-50ab-8768-7ae9f2f44bb8	20030131	1	900000000000207008	900000000000523009	21962008	118696008
3aeac00e-fdaf-5be2-9cbb-c5c8fe9b1fc3	20060131	1	900000000000207008	900000000000523009	268531006	409063005
3b58da55-09af-5557-b651-22baf847a650	20040731	1	900000000000207008	900000000000523009	109441009	410066003
3b74e7c4-b47c-5097-ab4c-d4c541ee2896	20020731	1	900000000000207008	900000000000523009	94091004	372016004
3baf0755-b03f-5faa-80a0-47b83f918427	20080731	1	900000000000207008	900000000000523009	17571003	431491007
3bc1033b-0b15-5fca-9f25-8408ac3b3d3c	20030131	1	900000000000207008	900000000000523009	271362003	88058003
3cbd2412-52a4-5f58-a431-3aa8b379e1d9	20060131	1	900000000000207008	900000000000523009	223465007	223464006
3cfc9370-78a2-5c8d-822e-0d8b8f01bc1a	20140131	1	900000000000207008	900000000000523009	302934007	410730009
3d6285bb-9d18-5d32-b0ad-cc64c1de8c29	20100731	0	900000000000207008	900000000000527005	231976001	424370005
3e2b4f01-af86-5c1e-9220-fcdaf91c3986	20070131	1	900000000000207008	900000000000527005	419258005	161891005
3e3dedc0-a5ee-5db0-8250-4becaacf138b	20030731	1	900000000000207008	900000000000527005	244399009	54944003
3e59c750-80c2-5ef9-90d3-c7567700215e	20040731	1	900000000000207008	900000000000527005	363174001	43275000
3f3c93db-ad89-54e0-93d4-9b45c413cbc8	20040131	0	900000000000207008	900000000000527005	230456007	13973009
3fa6d7e8-e700-52d3-ab1e-5f86c8d6253b	20070731	1	900000000000207008	900000000000523009	360330009	425689005
400852b9-4b2d-53c3-8b07-a318ded72e0d	20030131	1	900000000000207008	900000000000527005	233992003	9406001
4171c3f1-4193-5af9-962a-bdb921ceab86	20070731	0	900000000000207008	900000000000523009	363749005	129282004
41a94627-9110-54fb-90ce-2cbddc7ab88e	20040131	1	900000000000207008	900000000000526001	246188002	404684003
4289eee3-586b-54bc-b220-0c19a461b8e7	20050131	1	900000000000207008	900000000000523009	118225008	118222006
42ba1318-4bf5-521d-96d8-b3c7208332fc	20030731	0	900000000000207008	900000000000523009	69096003	11778002
4348b4e5-0629-53cc-beaa-821fe05c03aa	20060131	1	900000000000207008	900000000000523009	268535002	409073007
458e82fb-67de-5076-b0a5-14d058949fd2	20130131	1	900000000000207008	900000000000527005	418168000	473011001
45b81f1d-88bc-5995-a445-949984a4733b	20030131	1	900000000000207008	900000000000523009	37808005	308492005
45e929fd-a0af-523a-830c-71735fbba9f2	20100731	1	900000000000207008	900000000000523009	247423006	415531008
4796b841-c942-5280-a901-439e3448a8ed	20070131	1	900000000000207008	900000000000527005	396430005	424891007
48d85bd9-85c6-5151-980e-0de8c4870fcf	20060131	1	900000000000207008	900000000000523009	87373006	418630001
49b02d61-2b82-57cf-9149-206990d96979	20040731	0	900000000000207008	900000000000527005	284009009	103389009
49cf93d0-fab1-5341-827f-66d941ba85ab	20140131	1	900000000000207008	900000000000527005	243930007	44300000
4abc5ba9-d4db-56bc-882e-882ccc3d1ffc	20030731	1	900000000000207008	900000000000523009	75901008	398302004
4b496570-1986-5ba1-9508-821996fbe210	20020731	1	900000000000207008	900000000000523009	194345004	87118001
4bc6d640-5f7b-5088-93f5-eae611e54995	20050731	1	900000000000207008	900000000000523009	13115008	416010008
4bfc7f3d-42a8-57c5-b30e-9cb82c2b1b99	20060131	1	900000000000207008	900000000000523009	172291001	419630005
4c365208-5e41-5a56-a3ab-4cad3ead5bd5	20140131	1	900000000000207008	900000000000524003	93238009	416516009
4ccaaf5a-bd9e-5998-a0f7-58599d8a1ce9	20040731	1	900000000000207008	900000000000527005	298496005	298497001
