id	effectiveTime	active	moduleId	refsetId	referencedComponentId	valueId
02bad56c-65ac-56be-994c-a82c25b6736e	20020731	1	900000000000207008	900000000000490003	654515019	900000000000495008
02dce44c-b092-52f5-ad96-9657d986bc85	20050131	0	900000000000207008	900000000000490003	585370016	900000000000486000
0306bce7-c922-5b4b-9dbe-8ee3014b8e7e	20060131	1	900000000000207008	900000000000490003	53570018	900000000000495008
0308e286-331a-5a5e-b74f-776bed326d78	20080131	1	900000000000207008	900000000000489007	6099009	900000000000484002
0346fde1-9335-5580-aa33-66b1e6e3ac98	20030131	0	900000000000207008	900000000000490003	1203968019	900000000000486000
0359c375-444c-5a6e-bde1-0fc5ea249d73	20090131	0	900000000000207008	900000000000490003	492480016	900000000000495008
035e3e4f-5562-54df-a2dd-51e496dc9cda	20130131	1	900000000000207008	900000000000490003	392617019	900000000000495008
0400dea7-0736-53c0-93ef-a9658e19cb4b	20140131	1	900000000000207008	900000000000489007	93563005	900000000000487009
04170cc8-1ac5-55a1-b440-4443657504dd	20070131	1	900000000000207008	900000000000490003	740913017	900000000000495008
0417abd4-701f-53c6-a807-1b19f22f218e	20030131	0	900000000000207008	900000000000490003	773953014	900000000000495008
0429545e-5176-544d-8f75-d8f07b8c9d4f	20020731	1	900000000000207008	900000000000489007	367640003	900000000000485001
0468427f-e9e7-5fdc-9fce-3ee7dcdf8a63	20030131	1	900000000000207008	900000000000490003	493111014	900000000000495008
0488422e-0313-5947-bd4e-193dfcc03f6d	20140604	0	900000000000207008	900000000000490003	90976010	900000000000494007
048ff51d-18bb-5ea7-932e-7dfc8a99d13b	20140131	1	900000000000207008	900000000000490003	165469017	900000000000495008
0494b182-939b-585c-8f0d-d71edaffce06	20100131	1	900000000000207008	900000000000490003	2611619013	900000000000495008
04c0e184-b334-5608-8a62-5051cad2a968	20030131	1	900000000000207008	900000000000490003	474712013	900000000000495008
053057bd-e309-5e21-b9a9-c14891cd6b76	20140604	0	900000000000207008	900000000000490003	2476009010	900000000000494007
0535e36b-8d1a-5cb8-81fd-683068327852	20030131	0	900000000000207008	900000000000489007	302185003	900000000000486000
0546d439-4140-5a1c-91e3-5ffdd045bdbe	20070131	1	900000000000207008	900000000000490003	1460198018	900000000000495008
055b4d6f-f369-5a8d-93f3-d9b8eb36aadc	20030731	1	900000000000207008	900000000000490003	812333012	900000000000495008
05749932-8a30-5ef7-aeea-3e187dc5b644	20030731	1	900000000000207008	900000000000490003	511902017	900000000000495008
057bc441-8279-5d13-b585-1d75a40f36c8	20030131	1	900000000000207008	900000000000489007	360164000	900000000000482003
0594e444-b697-5077-86cd-6f803b7e0bc6	20020731	1	900000000000207008	900000000000490003	489053016	900000000000495008
05c11f5f-39ee-528a-8411-014d1537a79e	20070131	1	900000000000207008	900000000000490003	476556013	900000000000495008
06034d21-9c89-55a8-9feb-771699a8d928	20140131	1	900000000000207008	900000000000490003	836457016	900000000000495008
061c9f2f-d3ec-561d-b5b9-7112330b34e0	20050131	1	900000000000207008	900000000000490003	790330013	900000000000495008
061f0766-5b46-5280-88d6-921e21b3f33b	20030131	1	900000000000207008	900000000000490003	733067010	900000000000495008
