id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapGroup	mapPriority	mapRule	mapAdvice	mapTarget	correlationId
18f828a3-dc4f-5cc0-9996-d4e5bc9abad7	20020131	1	900000000000207008	447563008	108365000	1	1			686.9	447557004
c66603dc-db5a-5e58-89f6-a30f1d0362f2	20020131	1	900000000000207008	447563008	10890000	1	1			527.9	447557004
ce44f96b-f011-5f23-aa52-7aa690a25903	20020131	1	900000000000207008	447563008	109262008	1	1				447556008
8f9aa284-759e-534d-8879-ae42ce8c20dc	20020731	0	900000000000207008	447563008	109265005	1	1			216.8	447558009
d11e0c36-d84f-56de-aaa1-3fa1033eae38	20030731	0	900000000000207008	447563008	109265005	1	1			216.9	447558009
6371fb38-7278-5272-9e58-d7b000defb15	20030731	1	900000000000207008	447563008	109266006	1	1			232.9	447557004
3470e647-6cde-598f-b0ae-553bd91c06cc	20020131	1	900000000000207008	447563008	109269004	1	1			216.3	447558009
4b929cf7-4528-5ef9-a23c-c1d441334639	20020131	1	900000000000207008	447563008	109419009	1	1			756.0	447558009
7d6d7cb1-2f6b-5a67-a4d3-43a5ea0d5994	20090131	1	900000000000207008	447563008	109420003	1	1			756.9	447558009
f0204ace-33ff-5a99-a538-513d5e1f1d7d	20090131	0	900000000000207008	447563008	109420003	1	1			756.0	447558009
0ea47e91-5604-5cab-9e90-ed4f5995b7e3	20040731	0	900000000000207008	447563008	109441009	1	1			520.1	447558009
ef1b9dba-c1ea-59ea-92dc-ec6e59ebcb94	20020131	1	900000000000207008	447563008	109448003	1	1			520.1	447558009
beb90581-93be-5169-9109-a91b3d63f259	20020131	1	900000000000207008	447563008	109449006	1	1			520.1	447558009
b350e7b6-eb8d-51f9-bb44-7e8ee81addf4	20020731	1	900000000000207008	447563008	109549008	1	1			750.9	447558009
db31628e-bca4-5648-8a17-8f518f89dd21	20020731	0	900000000000207008	447563008	109549008	1	1			749.10	447559001
97984e10-424c-5499-aeea-a949b49bad33	20020131	1	900000000000207008	447563008	109550008	1	1			750.25	447558009
07d944f0-7b78-5ea8-b673-03b19dfe372a	20030731	0	900000000000207008	447563008	109787002	1	1			528.7	447558009
4002d4d9-b031-50d5-b37f-7a26d2f07aa5	20030731	1	900000000000207008	447563008	109787002	1	1			528.9	447557004
c8125277-241d-5777-8326-3a97f8150c24	20130731	1	900000000000207008	447563008	11000119105	1	1			V15.01	447557004
7a1b75f3-8ef2-5a9a-b477-48f63282c6f9	20020731	1	900000000000207008	447563008	110151001	1	1			910.8	447558009
bad7c935-4f7a-5ce6-8aa9-2d4036648cd7	20020731	0	900000000000207008	447563008	110151001	1	1			959.09	447558009
c7cf03f6-c21c-5ef1-8ec5-7b04510327dc	20020131	1	900000000000207008	447563008	110170006	1	1			940.9	447558009
180927a5-491a-5239-8cc2-4ba59910ed21	20020131	1	900000000000207008	447563008	110172003	1	1			940.1	447558009
0e16df76-4dbd-5818-b451-232d5b0d5fc8	20020131	1	900000000000207008	447563008	110173008	1	1			940.1	447558009
973fd9a8-064a-5163-897a-777f4b3088d3	20020131	1	900000000000207008	447563008	110178004	1	1			941.09	447558009
a50c7b87-6039-5123-897e-46fc99f830f0	20020131	1	900000000000207008	447563008	110179007	1	1			941.19	447558009
554ab14d-e18d-583c-ab03-57552dbd45cc	20020131	1	900000000000207008	447563008	110180005	1	1			941.29	447558009
2389188c-95ed-56ff-98f0-83df37d4a4ed	20020131	1	900000000000207008	447563008	110182002	1	1			941.07	447558009
f8cc7d64-722b-50a7-bf0a-ad77c5e16de6	20020131	1	900000000000207008	447563008	110183007	1	1			941.17	447558009
38bccf6d-a763-5e22-b186-217defe6a5a3	20081031	1	900000000000207008	447563008	110184001	1	1			941.27	447559001
cbe0df03-12cd-51ff-ab85-cec36c6b142b	20020131	1	900000000000207008	447563008	110186004	1	1			941.07	447558009
305ff8d5-1061-552e-ac0d-90c89c99ffe4	20020131	1	900000000000207008	447563008	110187008	1	1			941.17	447558009
c6575b74-37d2-5098-b99c-d306d3004d7f	20020131	1	900000000000207008	447563008	110188003	1	1			941.27	447558009
3c3ba894-cfcb-58c2-b6e5-d671cac39f4f	20020131	1	900000000000207008	447563008	110282008	1	1				447556008
b9378fc3-7247-58f1-bf97-5bb93121d6da	20060930	1	900000000000207008	447563008	110283003	1	1			444.9	447558009
bd3f7c6a-b5fd-5766-9091-a160770dfe51	20060930	1	900000000000207008	447563008	110283003	2	1			E947.9	447558009
ecc1e6de-8eb5-5e81-ac6c-746bf9f4416f	20060930	0	900000000000207008	447563008	110283003	1	1			995.2	447558009
2aed16c8-bb3e-57f5-8278-26c382f106e9	20030131	1	900000000000207008	447563008	110483000	1	1			305.1	447558009
