id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapGroup	mapPriority	mapRule	mapAdvice	mapTarget	correlationId
01847e73-54ac-59fe-a5d3-945ae65ca70e	20020131	1	900000000000207008	447563008	111641007	1	1			813.16	447557004
01b29ba7-d1de-5341-938c-b78e66973a54	20030131	1	900000000000207008	447563008	385424001	1	1			959.8	447558009
01b5f37c-f163-531f-ba90-c0f07c0d67b0	20090731	1	900000000000207008	447563008	365691004	1	1				447556008
01b6a66f-c603-56fc-bb48-881278906152	20090731	1	900000000000207008	447563008	194281003	1	1			382.00	447557004
01b9f69c-f687-51f7-bc5a-62089f00f02b	20020131	1	900000000000207008	447563008	64902007	1	1			813.01	447557004
01c25413-c530-52e2-90ed-208f9e963213	20020131	1	900000000000207008	447563008	21351003	1	1			826.0	447559001
01ee408f-f736-5532-a3b6-c1555660efbc	20030731	1	900000000000207008	447563008	736004	1	1			682.6	447557004
0200025f-1fd0-5106-986f-d25eb1331682	20030731	0	900000000000207008	447563008	254467007	1	1			239.2	447558009
0215d117-eb80-5a9d-af83-9567a57250cb	20020131	1	900000000000207008	447563008	249300001	1	1				447556008
0218d51c-863a-5cef-a1b3-92679b35db3f	20040731	0	900000000000207008	447563008	7314000	1	1			820.09	447557004
02beb67d-0453-5552-8223-3ddd0a7a8df4	20020731	1	900000000000207008	447563008	302168000	1	1			558.9	447558009
02c9e5c2-adb7-5040-9a10-29b35439b10a	20020131	1	900000000000207008	447563008	276507005	1	1			779.9	447558009
02dce4e2-74cd-5803-a1db-4958e9329c00	20020131	1	900000000000207008	447563008	23813004	1	1			813.17	447558009
02ddf422-e559-5437-97e2-55eea1aee7bb	20081031	1	900000000000207008	447563008	128614008	2	1			136.9	447558009
02de31dc-8def-5a4b-b051-97914702fca8	20060731	1	900000000000207008	447563008	275937001	1	1			V16.9	447558009
02f4fa79-f097-5b3b-9553-58027116d4a1	20140131	1	900000000000207008	447563008	460616007	1	1			V65.19	447558009
030d7bea-8348-5e5c-8790-afe56ece256f	20150131	1	900000000000207008	447563008	705080006	1	1			824.8	447558009
031b7354-c104-5f6e-abab-1b5ae4f35721	20110731	1	900000000000207008	447563008	448419003	2	1			995.91	447558009
032cc6e9-9414-54f1-816c-ea9489f33a7d	20081031	1	900000000000207008	447563008	203514008	1	1			733.99	447557004
032e1e04-487e-5fdb-8c14-ffa2defd20b6	20020131	1	900000000000207008	447563008	17222009	1	1			813.42	447557004
032e77bd-4a65-555b-8e51-95e8689b34ec	20030731	0	900000000000207008	447563008	312593004	1	1			444.0	447558009
0337e27b-cdbf-5870-8fd4-f912a3a1ca70	20020731	1	900000000000207008	447563008	251052000	1	1				447556008
0350f972-6e89-58b3-b5b1-282821aa2c9c	20030731	1	900000000000207008	447563008	237972006	1	1			271.8	447558009
036a3278-8b84-5209-b9e8-21507355cd07	20030731	0	900000000000207008	447563008	363032009	2	1			759.9	447558009
0377e05c-0e3c-5659-9362-cc14d2a648c4	20020131	1	900000000000207008	447563008	19399000	1	1			381.00	447558009
03843c27-1a75-54c1-828e-ca3943e47414	20020131	1	900000000000207008	447563008	48780006	1	1			352.9	447558009
03923c11-8129-5664-a921-2f4515414986	20020131	1	900000000000207008	447563008	86095007	1	1			277.9	447558009
039d3e15-a5c2-5cb5-bdb4-c6e755936345	20100131	1	900000000000207008	447563008	443859009	1	1				447556008
039d67d8-730f-5495-83dd-9312d813e0aa	20020131	1	900000000000207008	447563008	37174005	1	1			814.08	447557004
03baaaea-c0a5-503f-91d0-3da84fcaafb6	20020131	1	900000000000207008	447563008	91175000	1	1			780.39	447557004
03d46cea-3385-5ec9-8cd4-660e8eb7474e	20020731	1	900000000000207008	447563008	250498001	1	1				447556008
03e369da-cc68-5244-99bf-1fd8237f7068	20090131	1	900000000000207008	447563008	208271008	1	1			812.42	447557004
03e6a307-9a24-5448-9370-b147e5d6a558	20020131	1	900000000000207008	447563008	125596004	1	1			959.3	447558009
03edffa1-8101-5fd9-9220-075d07774723	20140131	1	900000000000207008	447563008	160427003	1	1				447556008
